what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333450892125
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333450892171
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333450899375
error,log,,,"Server JBoss v4.2 at localhost was unable to start within 50 seconds. If the server requires more time, try increasing the timeout in the server editor.",1333450937796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450938093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450943625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450945750
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333450950578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450953390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450966515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1333450966562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450968218
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333450972359
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333450972515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450989609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1333450993593
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333450995765
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1333450999765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333451001171
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333451034031
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333451041375
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333451041640
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333451041640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451048718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451073625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333451081187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451085656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451087421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451091765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451093843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451128718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451137343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451229843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451254140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451255828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451275687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451289234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451311296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451313906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451314437
